AAPL,657
MSFT,581
AMZN,304
GOOGL,202
GOOG,187
TSLA,174
BRK.B,162
NVDA,134
JNJ,134
UNH,133
META,130
XOM,127
JPM,108
V,101
PG,100
CVX,100
MA,90
HD,89
PFE,86
ABBV,76
BAC,73
LLY,71
KO,70
AVGO,67
PEP,66
MRK,65
TMO,62
VZ,62
COST,60
ADBE,58
ABT,58
CMCSA,56
DIS,56
ACN,55
CSCO,54
CRM,53
MCD,53
WMT,50
WFC,50
DHR,48
INTC,48
BMY,48
LIN,48
AMD,48
PM,46
COP,46
QCOM,45
NKE,45
TXN,44
NEE,44
T,43
RTX,42
AMGN,40
UNP,40
UPS,38
HON,38
LOW,37
MDT,37
CAT,36
IBM,36
AMT,35
CVS,35
ANTM,35
MS,34
INTU,34
SPGI,34
ORCL,32
GS,31
LMT,31
DE,29
AMAT,29
NOW,29
AXP,29
C,29
PYPL,29
SCHW,28
BKNG,28
BLK,27
PLD,26
NFLX,26
CB,26
MO,26
SBUX,26
ADP,26
ADI,25
MDLZ,25
DUK,24
GE,24
MMM,24
CI,24
EOG,24
CCI,23
ZTS,23
TMUS,23
SO,23
MMC,23
MU,22
TGT,22
GILD,22
ISRG,22
BA,22
SYK,22
CME,21
TJX,21
BDX,21
SLB,20
VRTX,20
PGR,20
NOC,20
CSX,20
PNC,20
LRCX,20
USB,20
TFC,19
CL,19
MPC,19
D,19
REGN,19
Other,18
FCX,18
SHW,18
EL,18
FIS,18
PXD,18
CHTR,17
VLO,17
ATVI,17
NSC,17
HUM,17
FISV,17
EW,17
OXY,17
ITW,17
WM,17
EQIX,17
DG,16
APD,16
KLAC,16
EMR,16
ICE,16
AON,16
ETN,16
GM,16
BSX,16
NEM,15
AEP,15
COF,15
GD,15
FDX,15
PSX,15
MRNA,15
SRE,15
F,15
PSA,14
DOW,14
SNPS,14
NXPI,14
DVN,14
MAR,14
LHX,14
CNC,14
ADM,14
HCA,14
MET,14
MCK,14
AIG,14
KMB,13
ROP,13
ADSK,13
MCO,13
CTVA,13
EXC,13
WMB,13
CDNS,13
FTNT,12
ECL,12
TRV,12
AZO,12
HPQ,12
ORLY,12
GIS,12
STZ,12
TEL,12
SYY,12
APH,12
IQV,12
WELL,11
O,11
WBD,11
ALL,11
PAYX,11
A,11
HAL,11
XEL,11
CMG,11
HLT,11
MSI,11
CTSH,11
DLR,11
PRU,11
EA,11
MCHP,11
JCI,11
SBAC,11
KMI,11
BK,10
CTAS,10
AJG,10
NUE,10
ILMN,10
GPN,10
PEG,10
SPG,10
MSCI,10
DLTR,10
BKR,10
MNST,10
IFF,10
HES,10
KR,10
CARR,10
BAX,10
YUM,10
PH,10
DD,10
ED,10
AFL,10
TT,9
CMI,9
FAST,9
BIIB,9
PPG,9
RMD,9
PCAR,9
HSY,9
ES,9
IDXX,9
OKE,9
MTD,9
DFS,9
TDG,9
OTIS,9
WEC,9
TWTR,9
WBA,9
AMP,9
EBAY,9
MTB,9
DXCM,8
AWK,8
WY,8
ALB,8
ROST,8
KEYS,8
LYB,8
FRC,8
FANG,8
GLW,8
SIVB,8
AVB,8
FITB,8
VRSK,8
CERN,8
APTV,8
RSG,8
KHC,8
CBRE,8
AME,8
ENPH,8
TROW,8
CTRA,8
VICI,8
LUV,7
TSN,7
FE,7
DHI,7
DAL,7
CPRT,7
ULTA,7
AEE,7
MTCH,7
STT,7
ZBH,7
WTW,7
ARE,7
EIX,7
HIG,7
EFX,7
EQR,7
MRO,7
ROK,7
ETR,7
PPL,7
CDW,7
WST,7
STE,7
ODFL,7
ANET,7
BALL,7
DTE,7
NTRS,7
EXR,7
ABC,6
TSCO,6
IR,6
LH,6
ANSS,6
CF,6
CMS,6
ALGN,6
DRE,6
GWW,6
HPE,6
EXPE,6
RF,6
LEN,6
CNP,6
CTLT,6
HBAN,6
AMCR,6
MAA,6
SWK,6
VMC,6
TTWO,6
MKC,6
FTV,6
CHD,6
GPC,6
IT,6
VTR,6
CEG,6
MLM,6
DOV,6
MOS,6
MPWR,6
URI,6
CFG,6
FLT,6
WAT,6
POOL,5
EVRG,5
HOLX,5
CLX,5
SEDG,5
APA,5
SWKS,5
PFG,5
RJF,5
ZBRA,5
TER,5
DRI,5
IP,5
J,5
K,5
PARA,5
DGX,5
STX,5
KEY,5
TDY,5
BR,5
VRSN,5
VFC,5
CINF,5
EPAM,5
EXPD,5
AKAM,5
PKI,5
KMX,5
CE,5
PWR,5
COO,5
TRMB,5
SYF,5
WDC,5
MOH,5
NDAQ,5
BBY,5
ESS,5
GNRC,5
WAB,5
FMC,4
JBHT,4
HRL,4
NVR,4
OMC,4
CAG,4
DPZ,4
CHRW,4
GRMN,4
SJM,4
ATO,4
CAH,4
PKG,4
TXT,4
EMN,4
HST,4
WRK,4
MAS,4
BRO,4
NTAP,4
LKQ,4
NLOK,4
AVY,4
IEX,4
UDR,4
LNT,4
JKHY,4
HWM,4
LDOS,4
INCY,4
IRM,4
BF.B,4
AES,4
VTRS,4
TFX,4
MGM,4
LYV,4
BXP,4
CPT,4
UAL,4
WRB,4
XYL,4
TYL,4
SBNY,4
FDS,4
PEAK,4
PAYC,4
L,4
LVS,4
KIM,4
TECH,4
DXC,3
OGN,3
FBHS,3
PTC,3
REG,3
AAL,3
RHI,3
WHR,3
SNA,3
PHM,3
BBWI,3
NLSN,3
CBOE,3
RE,3
HAS,3
BWA,3
ABMD,3
CCL,3
AAP,3
CZR,3
FFIV,3
LUMN,3
CPB,3
LNC,3
TPR,3
FOXA,3
QRVO,3
NDSN,3
TAP,3
CTXS,3
AIZ,3
ETSY,3
IPG,3
GL,3
CMA,3
ALLE,3
HSIC,3
NRG,3
SEE,3
NI,3
MKTX,3
CRL,3
LW,3
JNPR,3
BIO,3
RCL,3
UHS,3
PNW,2
PNR,2
ZION,2
FRT,2
DVA,2
NWL,2
IVZ,2
HII,2
BEN,2
WYNN,2
ALK,2
CDAY,2
NWSA,2
PENN,2
XRAY,2
MHK,2
AOS,2
NCLH,2
ROL,2
NWS,1
FOX,1
UAA,1
VNO,1
RL,1
DISH,1
UA,1
IPGP,1
PVH,1
EMBC,1
